20:8:14 20/4/12,8.0,61.0,32.0,14.0,58.0,105.0,128.0,127.0,80.0,57.0,21.0,17.0,8.0,5.0,5.0,2.0,3.0,2.0,
20:8:41 20/4/12,9.0,70.0,38.0,16.0,70.0,124.0,162.0,160.0,99.0,73.0,26.0,22.0,9.0,6.0,6.0,3.0,4.0,3.0,
20:9:8 20/4/12,9.0,67.0,36.0,15.0,66.0,115.0,151.0,149.0,92.0,68.0,24.0,20.0,9.0,6.0,5.0,3.0,4.0,2.0,
20:9:35 20/4/12,9.0,67.0,37.0,15.0,67.0,117.0,153.0,152.0,94.0,69.0,25.0,20.0,9.0,6.0,6.0,3.0,4.0,2.0,
20:10:2 20/4/12,10.0,78.0,43.0,18.0,77.0,135.0,174.0,173.0,107.0,78.0,28.0,23.0,10.0,7.0,6.0,3.0,4.0,3.0,
20:10:29 20/4/12,11.0,81.0,44.0,19.0,80.0,141.0,183.0,182.0,112.0,83.0,29.0,24.0,11.0,7.0,7.0,3.0,5.0,3.0,
20:10:56 20/4/12,11.0,84.0,46.0,19.0,83.0,145.0,190.0,189.0,115.0,86.0,30.0,25.0,11.0,8.0,7.0,3.0,5.0,3.0,
20:11:23 20/4/12,11.0,85.0,46.0,19.0,84.0,147.0,194.0,192.0,116.0,87.0,31.0,26.0,11.0,8.0,7.0,4.0,5.0,3.0,
20:11:50 20/4/12,12.0,89.0,49.0,20.0,88.0,153.0,203.0,201.0,122.0,92.0,32.0,27.0,12.0,8.0,7.0,4.0,5.0,3.0,
20:12:17 20/4/12,13.0,101.0,55.0,23.0,100.0,174.0,233.0,231.0,139.0,105.0,37.0,31.0,13.0,9.0,8.0,4.0,6.0,4.0,
20:12:44 20/4/12,13.0,97.0,53.0,22.0,95.0,168.0,228.0,226.0,136.0,103.0,36.0,30.0,13.0,9.0,8.0,4.0,6.0,4.0,
20:13:11 20/4/12,13.0,102.0,56.0,23.0,101.0,177.0,240.0,238.0,141.0,109.0,37.0,32.0,14.0,9.0,8.0,4.0,6.0,4.0,
20:8:14 20/4/12,8.0,61.0,32.0,14.0,58.0,105.0,128.0,127.0,80.0,57.0,21.0,17.0,8.0,5.0,5.0,2.0,3.0,2.0,
20:8:41 20/4/12,9.0,70.0,38.0,16.0,70.0,124.0,162.0,160.0,99.0,73.0,26.0,22.0,9.0,6.0,6.0,3.0,4.0,3.0,
20:9:8 20/4/12,9.0,67.0,36.0,15.0,66.0,115.0,151.0,149.0,92.0,68.0,24.0,20.0,9.0,6.0,5.0,3.0,4.0,2.0,
20:9:35 20/4/12,9.0,67.0,37.0,15.0,67.0,117.0,153.0,152.0,94.0,69.0,25.0,20.0,9.0,6.0,6.0,3.0,4.0,2.0,
20:10:2 20/4/12,10.0,78.0,43.0,18.0,77.0,135.0,174.0,173.0,107.0,78.0,28.0,23.0,10.0,7.0,6.0,3.0,4.0,3.0,
20:10:29 20/4/12,11.0,81.0,44.0,19.0,80.0,141.0,183.0,182.0,112.0,83.0,29.0,24.0,11.0,7.0,7.0,3.0,5.0,3.0,
20:10:56 20/4/12,11.0,84.0,46.0,19.0,83.0,145.0,190.0,189.0,115.0,86.0,30.0,25.0,11.0,8.0,7.0,3.0,5.0,3.0,
20:11:23 20/4/12,11.0,85.0,46.0,19.0,84.0,147.0,194.0,192.0,116.0,87.0,31.0,26.0,11.0,8.0,7.0,4.0,5.0,3.0,
